line,name,fakeid,category2
1,FDiCareer,MzkyOTE3NTA1MQ==,复旦校内就业平台
2,FD理涯生涯工作室,MzUzNDAwNzgzOQ==,复旦校内就业平台
3,SOE Career,MzkyMDIwNjc1NA==,复旦校内就业平台
4,复旦iJob协会,Mzg5Nzk2ODUwNw==,复旦校内就业平台
5,复旦生涯,MjM5ODIxOTUzOA==,复旦校内就业平台
6,复旦就业,Mzg3MTA4NjA4MQ==,复旦校内就业平台
7,复旦基层就业,MzUxNzM4NTIyNg==,复旦校内就业平台
8,复旦管院本硕博教育中心,MzI4NjQ2MDQ0Nw==,复旦校内就业平台
9,复旦管院职业发展中心CDO,MzkyNDUxMjYxMw==,复旦校内就业平台
10,i法复旦青年荟,MzA3MzY0NDkwMQ==,复旦校内就业平台
11,CAU就业,MzA3MjA0NjMwMg==,其他985高校就业平台
12,DUT学生服务,MjM5MjQ1ODMwNQ==,其他985高校就业平台
13,OUC就业直通车,MzA4ODUzNzUyNA==,其他985高校就业平台
14,川大就业,MzA4MDQzNjYzNw==,其他985高校就业平台
15,成电就业,MzA3MDAxNzIxNQ==,其他985高校就业平台
16,东大就业服务,MzU0MTg2MDA5Mw==,其他985高校就业平台
17,东南大学就业指导中心,MjM5MDM0MDA0NQ==,其他985高校就业平台
18,国科大就业,Mzg4MjYxMDk5Ng==,其他985高校就业平台
19,哈工大就业,MzAxOTA4OTM5NQ==,其他985高校就业平台
20,湖南大学毕业生就业,MzU0MDc5MjgzMg==,其他985高校就业平台
21,华东师大学生就业,MjM5NDYzOTc2NQ==,其他985高校就业平台
22,华南理工大学学生就业指导中心,MjM5MTU4NjMwNQ==,其他985高校就业平台
23,华中科技大学就业指导与服务中心,MzA3MzQ5NzIyMw==,其他985高校就业平台
24,吉大就业创业,MjM5MjE0MzY2NQ==,其他985高校就业平台
25,交大就业,MzA4NzA2MzMxOQ==,其他985高校就业平台
26,京师就业,MzkyODM3NzEwNw==,其他985高校就业平台
27,科大就业,MjM5MDQxNTA5Mg==,其他985高校就业平台
28,兰大就业,MzkxMDUwOTIwMg==,其他985高校就业平台
29,南大就业,MzAxMDA3MjIwMw==,其他985高校就业平台
30,南开就业,MzU3MDgzOTE0Nw==,其他985高校就业平台
31,清华就业,MzUyMjc4NjA4Nw==,其他985高校就业平台
32,人大就业创业,MjM5MTE5MTY4Mw==,其他985高校就业平台
33,山东大学就业,MzA5MzM4MzMwNA==,其他985高校就业平台
34,天大就业,MzA3NTYyMDgwNQ==,其他985高校就业平台
35,同济就业,MzI4NTAxNDQyNw==,其他985高校就业平台
36,武大就业,MzAxNDE2ODQxOQ==,其他985高校就业平台
37,西安交大就业创业,MzA4NzkwNDYxMQ==,其他985高校就业平台
38,西工大就业,MzA5OTU5ODUxMw==,其他985高校就业平台
39,西农就业,MzAxMjY4MTIyNg==,其他985高校就业平台
40,厦大就业,Mzg2NzA0MjQ2MA==,其他985高校就业平台
41,浙大就业,MjM5MjA1NzU3Ng==,其他985高校就业平台
42,中大就业,MzI5Mzc1MzUyNg==,其他985高校就业平台
43,中南大学就业指导中心,MzA3ODQ3NTIzMA==,其他985高校就业平台
44,中央民族大学就业服务平台,MjM5NjUxMDM2Nw==,其他985高校就业平台
45,重大就业,MjM5NTE5NjY4Mg==,其他985高校就业平台
46,CUC中传就业,MzUxNzk1NzcyMw==,顶尖传媒高校就业平台
47,四川电影电视学院就业指导中心,MzI1NjkwMzk2NA==,顶尖传媒高校就业平台
48,南艺就业,MzU3MDg4MTExOA==,顶尖传媒高校就业平台
49,南京传媒学院创就业,Mzg3NDU1NzExMw==,顶尖传媒高校就业平台
50,浙传创就业,MzA4OTU4NjEwOQ==,顶尖传媒高校就业平台
51,中央戏剧学院就业创业指导中心,MjM5NjU0OTc3Mw==,顶尖传媒高校就业平台
52,青春北电,MzAwOTAzMDE1OA==,顶尖传媒高校就业平台
53,北外就业创业,MjM5NzM3MzQyMg==,其他相关高校就业平台
54,法大就业,MzA3MDAyNDkwOA==,其他相关高校就业平台
55,贸大就业,Mzk0MDU4ODg4Ng==,其他相关高校就业平台
56,上财就业CEPC,MzA4NjQzMTcwNw==,其他相关高校就业平台
57,上外就业,MjM5MDIxMzcyNg==,其他相关高校就业平台
58,社科大就业,Mzg3NjAxNTM0Ng==,其他相关高校就业平台
59,外交学院就业,MjM5OTE4MjQzNQ==,其他相关高校就业平台
60,中财就业,MjM5MzUzODIzNQ==,其他相关高校就业平台
